id,year,value
4,2017,82.90853
4,2018,24.44318
4,2019,1178.9732
8,2005,303.51722
8,2006,32.81074
8,2007,7.48189
8,2008,7.92624
8,2009,249.74403
8,2010,1341.37079
8,2011,21.71685
8,2012,51.09655
8,2013,146.2228
8,2014,122.19009
8,2015,32.36542
8,2016,20.44796
8,2017,0.17382
8,2018,163.15231
8,2019,40.52505
8,2020,4.30885
12,2005,0.88689
12,2006,26.02776
12,2007,21.91005
12,2008,519.15308
12,2009,6.50084
12,2010,32.07565
12,2011,7.9675
12,2012,12.94408
12,2013,21.37643
12,2014,1.78811
12,2015,4.5157
12,2016,1.94814
12,2017,9.42759
12,2018,59.35103
12,2019,15.30205
12,2020,1.15847
16,2009,0.0
16,2014,0.0
16,2015,0.0
16,2018,6851.66153
16,2019,21.69511
16,2020,420.3127
24,2005,53.95294
24,2006,81.26093
24,2007,206.99954
24,2008,452.63481
24,2009,88.34839
24,2010,80.12846
24,2011,774.16553
24,2012,78.91532
24,2013,46.5525
24,2014,119.04677
24,2015,152.29227
24,2016,273.74672
24,2017,136.8036
24,2018,113.42219
24,2019,0.0
24,2020,7.95649
28,2005,262.47703
28,2008,10103.67395
28,2009,8.3708
28,2010,2284.27596
28,2011,7.01205
28,2012,59.91267
28,2013,1448.86396
28,2014,41.39119
28,2017,0.0
28,2020,888.70729
31,2017,0.0
32,2005,14.48335
32,2006,109.81709
32,2007,302.37648
32,2008,16.37469
32,2009,98.926
32,2010,116.78361
32,2011,1.44964
32,2012,13.91204
32,2013,1421.93458
32,2014,43.67282
32,2015,0.0
32,2016,572.46133
32,2017,303.50681
32,2018,0.0
32,2019,0.0
32,2020,32.2154
36,2009,27.79249
36,2010,69.5412
36,2011,62.1387
36,2012,3.8381
36,2013,32.73274
36,2014,1.22672
36,2015,28.1681
36,2016,16.85549
36,2017,47.62044
36,2018,100.11856
36,2019,29.43901
36,2020,54.39708
40,2005,1.35349
40,2006,0.73904
40,2007,1.31595
40,2008,1.82956
40,2009,1.42771
40,2010,0.77826
40,2011,0.68206
40,2012,0.68982
40,2013,6.89778
40,2014,0.35261
40,2015,2.28305
40,2016,0.68966
40,2017,3.08902
40,2018,75.17007
40,2019,130.62034
40,2020,102.08892
50,2005,0.0
50,2006,0.0
50,2007,6339.80891
50,2008,0.0
50,2009,0.0
50,2010,0.0
50,2011,0.0
